Job Title,Company,Job Brief,Deadline Date,Job Description
Graduate Program,RAA,"Join an iconic South Australian organisation| 18-month Graduate Program | Commencing February 2025 | Located in Mile End, SA",11 Mar 2024,"About RAA:
As one of the state's largest and most iconic organisations, we're proud to keep our members – and SA – moving in the right direction. More than 805,000 members choose us to deliver peace of mind through our trusted range of motor, home and travel products and services. We're also one of the state's largest employers (and growing!), with more than 2400 employees working collectively with the common goal to keep our members moving.
At RAA, we give our graduates the opportunity to start making that difference from day one – to their own future, to RAA's people and members, and to South Australia, this incredible state we call home.
How do we do this? Through our friendly and supportive culture that offers great work-life balance and makes you feel like you can bring your whole self to work each day. Our diverse range of roles, across various departments and industries, allows you to move your career in the right direction. And through incredible learning, training and mentoring programs that empower you to continuously develop and consistently thrive.
So, are you ready to make your next move and launch a rewarding career in a progressive organisation right here in SA?
About the role:
Applications for RAA's 2025 Graduate Program will open in March 2024. We're looking for talented and ambitious graduates.
You'll build real-world expertise in your field while gaining exposure to multiple areas of RAA through rotations in teams such as Innovation, Cyber Security, Member Experience, Marketing and Data. And you'll work closely together and learn from each other as you develop and apply your skills in your field of interest to deliver real outcomes.
RAA's permanent 18-month Graduate Program provides budding professionals with:
Ongoing development, including rotations and our 'Campus to Corporate' Development Program.
Regular mentoring sessions with a manager to help you grow in the right direction.
A competitive salary, plus staff benefits, including free RAA Premium Road Service.
Flexible working arrangements to suit your lifestyle.
A Diversity & Inclusion Program helps you bring your whole self to work.
Support and education for your well-being and mental health.
What you need:
In your final year of university (in 2024) or graduated in 2023 
Excellent interpersonal skills and ability to present ideas to different audiences.
Strong customer service ethos with a high level of emotional intelligence.
Strong analytical and problem-solving skills.
Demonstrated experience and interest in web development or working with data.
Ability to work effectively in a team and autonomously to get the job done."
"Graduate Planners: Environmental Planning and Assessment Graduates, Town, Regional & Urban Planning Graduates",WSP Australia,"What if you could build a career that’s as unique as you are? With us, you can!",30 Apr 2024,"Come join our team of intelligent and collaborative Changemakers and make your mark on tomorrow!
WSP Graduate Planners: Environmental Planning and Assessment, Town, Regional & Urban Planning Graduates
Around the world WSP is working with public and private-sector clients to guide their projects through the planning process, ensuring that from the earliest stages, they are designed to mitigate their impacts on the environment and society. Our aim is to deliver viable, resilient projects that comply with complex and frequently changing international, national and local regulatory requirements, withstand public scrutiny, meet corporate environmental, social and governance (ESG) targets and have strong resiliency and climate change adaptation plans.   
Planning and Assessment Graduates are highly regarded across our Earth and Environment, Mining and Energy, Transport and Water Groups. Graduate roles would include (but not exclusive to):
Graduate - Planning & Approval
Community and Social Performance – Graduate
Graduate - Rail
Planning & Mobility – Graduate
Graduate Planning Consultant
Your Graduate Program
At WSP, we are committed to nurturing and developing the next generation of diverse WSP Changemakers through mentorship and structured development programs. As part of our global firm, you’ll find the scale and reach you need to do the kind of work the world needs – and the culture and people that make it the best work of your life.
As part of our industry leading Graduate Program, ASPIRE, you will be guided to own your career and drive your success. ASPIRE, is a two-year blended learning experience, offering a holistic approach to development. It includes topics specifically chosen to enhance professional, personal and relationship building skills with opportunities to connect with others across the global WSP network.
Life of a WSP Graduate 
Your path as a Graduate can be a transformative experience. We acknowledge your journey can present challenges and exciting opportunities so here are few things we offer to help you on your way to success.
Aspire – WSP Graduate Program
Buddy/Mentorship program – learn from the brightest minds and industry experts in your specialist field
Diverse Project exposure – put your theory into practice and come and help us solve problems that have meaningful impacts on our community.
Software training – using the latest digital tools to enhance efficiency, collaboration and project delivery
Continuous learning in a controlled and supporting environment.
Professional development – skills training, further education, promotion
How to apply
If you want to help us design the future, apply now to begin your journey with WSP. Be sure you attach: 
Current resume
Cover letter telling us little about you and why you are interested in working in our industry
Copy of your current academic transcript
*Please note: To avoid duplications, submit 1 APPLICATION ONLY to the graduate program. You will be asked if you are open to relocating during the application process.
Applications will close 30/04/2024
Life at WSP
WSP is one of the world's leading engineering professional services firms, bringing together approximately 6,000 talented people across 15 offices in Australia. We are technical experts who design and provide strategic advice on sustainable solutions and engineer Future ReadyTM  projects that will help societies grow for lifetimes to come. 
As a member of WSP's ‘Emerging Professionals Network’, you will embrace your curiosity and work in a culture celebrating different perspectives. With our global scale and reach, you’ll connect with the brightest minds in the field to make the best work of your life.
We strive to create a work environment where you’ll always find new ways to grow – where you’ll design your own path and do what truly matters to you.
WSP is committed to providing an inclusive, diverse and equal opportunity workplace. We are proud to promote Indigenous voices and are actively delivering a ‘Stretch’ level Reconciliation Action Plan. Accredited by the Workplace Gender Equality Agency as an Employer of Choice, we also support the LGBTQIA+ community, and encourage all employees to bring their whole selves to work."
Graduate Engineer,South32,We are South32. We are making a difference with the work we do.,24 Apr 2024,"We attract talented people with exceptional skills who share our values of care, togetherness, trust and excellence and want to make a difference with the work that they do.

Graduate Program
Our reason is simple – we’re looking for our future leaders and technical experts.
With operations located across Australia, our Graduate program is tailored to provide you with a unique learning pathway that will help you develop foundational skills to set you up for your future career with South32. 
When you join the South32 Graduate Program you will:
Receive a personalised graduate passport to guide your development pathway over 2 or 3 years depending on your discipline
Your personalised pathway will include rotations to build your technical and professional skills
Lead an improvement initiative that has a genuine business impact
Participate in a 3-day residential experience with graduates from across our global operations
Grow personally and professionally in a dynamic, inclusive and supportive culture
Receive dedicated support from graduate buddies and senior leaders
South32 offers:
Employee share plan and great employee discounts
Education Assistance
Additional employer superannuation contributions
Friendly rosters and flexibility
We’re looking for graduates in the following Engineering disciplines: 
Mining
Mechanical
Electrical
Process Control
Geotechnical
Metallurgy
Surveying
Control
About us 
South32 is a globally diversified mining and metals company. Our purpose is to make a difference by developing natural resources and improving people’s lives now and for generations to come. 
We produce commodities including bauxite, alumina, aluminium, metallurgical coal, manganese, nickel, silver, lead, zinc and copper from our operations in Australia, Southern Africa and South America. With a focus on growing our base metals exposure, we also have two development options in North America and several partnerships with junior explorers around the world. 
Our Recruitment Process. 
Upload your CV - Send in your application by attaching your CV, academic transcript and details of extracurricular activities
Application Review - Our recruitment team will review each application to determine a shortlist which will be shared with Hiring Managers
Interview & Assessments - Shortlisted candidates will be invited to an interview and complete psychometric testing
Offer Stage - Successful candidates will receive an employment offer.
South32 embraces diversity and encourages applications from people of all backgrounds. 
Eligibility:
Final year students or students that have recently graduated within the last 2 years.
Applicants must have the right to live and work in Australia."
Graduate Program,Stockland,"Whilst applications for our 2025 Graduate Program aren't currently open, you can fill in a few quick details and be the first to hear when they do.",31 Aug 2024,"The Stockland Graduate Program attracts high-potential graduates to drive innovation.
This year we will be recruiting several graduates across Sydney, Melbourne, Brisbane and Perth in areas including:
Development
Cyber Security
Commercial Property
Project Management
Data Science & Insights
Group operations (HR/Marketing/Sustainability/Chief Operating Office and Risk)
Sustainability
Technology
Communications
Customer Research
Business Operations
Risk/Audit
Finance
Legal
Acquisitions & Investments
By registering your interest, you will be the first to know when we formally open applications. 
*Please note that this is not a formal application for the graduate program. You must return to formally apply in July 2024 and complete our graduate application form."
Graduate Program,BHP,BHP is seeking students studying from a range of degrees for 2025 Graduate positions across Australia.,10 Apr 2024,"2025 Australian Graduate Campaign
To help build a better world, we need the best and brightest.
Why not you?
At BHP, our purpose is to bring people and resources together to build a better world.  We have the resources. What we produce is essential to carbon reduction and the technologies essential to secure prosperity for generations to come.
But we need more good people. Not just anyone, but the best and brightest graduates from every field of academic and technical endeavour. Graduates who will challenge us, as we will challenge them.  
If you join us, the opportunities are endless; because you will not only help build a better world, you will help shape it. Someone has to do it. Why not you?
About the Role
As a BHP Graduate, your 24 month graduate program is a balanced approach to building your technical and professional capabilities through structured course work and learning on the job. When you start, you’ll be given a buddy who will show you the ropes and gain access to our mentor program to help shape your career. 
As BHP Graduate, you will: 
Rotate into different teams 2-4 times
Work alongside industry leaders
Collaborate on projects across multiple disciplines
Contribute to improvement initiatives
Attend technical forums where you will hear inspiring presentations, participate in activities focused on expanding your technical knowledge and networking with other graduates.
What we offer our Graduates
A permanent position is on offer.
An attractive salary package plus a performance-based bonus
Employee share program and great employee discounts
An ongoing commitment to your well-being
An attractive salary package includes a performance-based bonus, plus employee share program, recognition program & range of employee discounts. Relocation costs covered as required.
What we are looking for
You will have already graduated in 2022 or 2023, or be eligible for graduation by the end of 2024.  Your degree could be from one of the following (but not limited) to:
Engineering: Mining, Mechanical, Mechatronics, Electrical, Mine Geotechnical, Civil, Metallurgy / Minerals Processing, Chemical, Construction Management, Instrumentation Control and Automation, Structural, Quantity Surveying
Science: Earth Science / Geology, Hydrogeology, Environmental, Chemistry, Spatial Science (Surveying), GIS
Health Science: Safety, Health, Nursing, Paramedical Science
Technology: Computer Science, Data Science, Cybersecurity, Maths and Statistics
Business: Commerce. Finance, Accounting, Law

As our graduate opportunities for engineering and science are residentially based near our mining operations or require you to work on a Fly-In-Fly-Out (FIFO) roster, it is important that you’ll be willing to consider either of these arrangements to undertake a grad role.   Roles such as Technology and Commercial will support our operations from our city locations, but they are never far from the action.

About Our Process 
At BHP, we are committed to employing individuals who align with the BHP Charter Values and meet the requirements of the role. As part of the recruitment process, there are a number of checks which may be conducted to demonstrate applicants suitability for a role including police / criminal background checks, medical, drug and alcohol testing, due diligence checks, right to work checks, and/or reference checks. 

Supporting a Diverse Workforce  
At BHP, we recognise that we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. We know there are many aspects of our employees' lives that are important, and work is only one of these, so we offer benefits to enable your work to fit with your life. These benefits include flexible working options, a generous paid parental leave policy, other extended leave entitlements and parent rooms.
Apply now
The future is clear if we continue to think big.  To discover how, visit Australia graduate and student programs | BHP on our website and apply by 10 April 2024. "
Safety Graduate,ACCIONA Australia and New Zealand,Safeguarding Sustainable Infrastructure: Build a Future in Safety Management with ACCIONA's Graduate Program!,30 Aug 2024,"Register for ACCIONA’S Graduate Program 2025! 
Come and join us in building the infrastructure our planet needs to achieve a sustainable future. 
ACCIONA Graduate Program
The ACCIONA Australia and New Zealand Graduate Program is a unique postgraduate development and training program that is designed to provide a comprehensive and hands on experience to graduates, helping them develop their capabilities and succeed in their careers with ACCIONA. We provide both hands on experience and targeted training to help our graduates develop key competencies that will set them up for success in their careers.
Elements of the ACCIONA Graduate Program:
Kick off with a National Induction
Participate in 2 to 4 rotations to gain a breadth of experience
Site visits to some of Australia’s flagship sustainable infrastructure projects
Practical lunch and learns presented by ACCIONA senior leaders and subject matter experts
Team up with other ACCIONA graduates from different countries and cultures through our Global Graduate Program
Complete an exclusive international development program in collaboration with the Comillas Pontifical University (Madrid)
Flexible time frame, achieved through our self-paced competency framework.
ACCIONA key Employee Programs:
Gender neutral parental leave
Salary packaging including car leasing
Flexible working equipment program
Flexible working model – core flexibility and elective flexibility
Corporate income protection
Professional development through ACCIONA talent programs and the ACCIONA Learning Ecosystem
Career development via ongoing career conversations
Health and wellbeing programs including discounted private health insurance and our Employee Assistance Program
Flu vaccinations and skin checks
Vacation care program
Free membership to The National Association of Women in Construction (NAWIC).
Eligibility for the ACCIONA Graduate Program 2025:
No prior full-time work experience required, although internship and undergraduate experience is highly desirable
Working Rights in Australia & New Zealand without employer sponsorship is required
Full completion of undergraduate level study within the last 3 years
High degree of passion and ambition to work in the construction industry and help transform communities and change landscapes
Mobility, flexibility and the desire to work on construction projects locally, regionally and interstate
Commitment to building the infrastructure our planet needs to achieve a sustainable future.
We are looking for Graduates in:
Victoria
New South Wales
Queensland
South Australia
Western Australia
New Zealand
We run two major recruitment campaigns per year, in March and August, with a simple application process:
Submit your 10-minute application
Shortlisted candidates complete a 10 to 15-minute one way video interview providing insight into your unique personality
If successful you will be invited to attend a face-to-face behavioural based interview with a HR representative and a senior leader
Formal offer to join ACCIONA’s graduate program
Tuesday 28th January 2025: Program commencement. Early entry opportunities may also be available."
Graduate Program,Powerlink Queensland,Powerlink offers highly-sought after 3x year permanent Graduate Programs in engineering as well as operational technology.,18 Mar 2024,"With multiple rotations and the peace-of-mind you’ll have a permanent role at the end, you’ll consolidate your skills across a range of areas - discovering specialties that you’ll love, building your knowledge and actively working on QLD’s super grid.
Engineering Graduates will gain experience through rotations in Asset Strategies, Network Planning, Infrastructure Delivery, Design Solutions, Technical and Network Solutions, Field Delivery and Network Operations. 
Operational Technology Graduates will obtain experience rotating through OT Cyber Security, Energy Management Systems, Network Management Applications, Systems Integration and Digital and Telecommunication Networks. 
What are we offering? 
Our Graduate Program will provide you with learning opportunities that are unique to Powerlink and the electricity sector. By joining us at this exciting time of exponential growth and energy transformation, you can play your part in building a greener energy future! 
You will learn from and work with talented and supportive engineering and development professionals, giving you opportunities to thrive as a key member of Powerlink and play a role in the industry’s future. Through mentorship, training and guidance, you’ll be equipped to excel as a professional, working as part of a dynamic and rapidly expanding team. 
As a permanent employee, you’ll rotate through multiple divisions and teams in a 3 year structured program - designed to fully immerse you into the business, gain a breadth of experience and knowledge, and unleash your potential. We have two streams available: 
Stream 1 – Engineering 
Stream 2 – Operational Technology
Competitive remuneration starting at $94,317 + 12.75% Super for a 9-day fortnight also applies, commensurate you’re your qualifications and schedule of work. 
Who are we looking for? 
You are an enthusiastic early career entrant who has graduated, or will be completing your studies in 2024 or early 2025.  We are looking for graduates who have completed or will be completing degrees or dual-degrees in: 
Bachelor of Computer Science or Bachelor of Information Technology OR
Bachelor of Engineering majoring in: Electrical, Electrical and Electronics, Mechatronics, Civil Engineering, Computer and/or Software Engineering, Electronic Systems and Internet of Things (IoT) Engineering, Telecommunications OR
Dual Bachelor of Engineering and Business, Science, IT, Computer Science or Data Science
You love to challenge the status quo, looking at things with a fresh perspective whilst proactively finding creative and innovative solutions for your customers and stakeholders. You are comfortable talking with people at a variety of levels in the organisation, and you are confident in approaching new people and building relationships.
About Powerlink: 
There’s never been a more exciting time to join the team at Powerlink, and get involved in the once-in-a generation projects we’re delivering across Queensland. From the development of Renewable Energy Zones, the upgrade of our transmission backbone network, or even the connection of exciting renewable developments like the Copperstring project in North Queensland - we’re helping to build a renewable super grid that will deliver a low carbon energy future for all Queenslanders. We offer:
Hybrid, family-friendly and flexible working arrangements including public holiday swaps
12.75% superannuation and salary packaging of novated lease vehicles
Professional Development Fund & Payment of Annual RPEQ Registration Fees
Volunteer leave, Cultural Diversity Leave, Study Leave, Sporting Leave
Bright, open office layout with atrium and access to onsite cafeteria at subsidised prices
Free undercover parking and charging stations for electric vehicles
Prayer room, parents room and facilities to support your lifestyle
Health and wellbeing benefits, including corporate health plan with employee discounts, annual flu vaccinations, onsite gym facilities and access to Employee Assistance Program
Inclusion at Powerlink Queensland
Unleashing our people’s potential is essential to our success. We are dedicated to fostering an inclusive culture where everyone is welcome and where diverse perspectives are valued.  We are committed to ensuring our workforce reflects the diversity of the communities we serve, and harness the unique talents, perspectives and experiences of all people.
Throughout the recruitment process, we provide support for candidates to ensure nobody is disadvantaged. Please tell us about any adjustments, support or access requirements that may help make the recruitment process more inclusive for you. You are also welcome to share your pronouns with us at any point throughout the process.
Applications for Powerlink’s Graduate Program open 22nd February 2024.
Register Today! "
Surveyor Graduate,ACCIONA Australia and New Zealand,Mapping the Future of Sustainable Infrastructure: Start Your Career as a Graduate Surveyor with ACCIONA!,20 Oct 2024,"Apply for ACCIONA’S Graduate Program 2024! 
Come and join us in building the infrastructure our planet needs to achieve a sustainable future. 
ACCIONA Graduate Program
The ACCIONA Australia and New Zealand Graduate Program is a unique postgraduate development and training program that is designed to provide a comprehensive and hands on experience to graduates, helping them develop their capabilities and succeed in their careers with ACCIONA. 
Elements of the ACCIONA Graduate Program:
Kick off with a National Induction
Participate in 2 to 4 rotations to gain a breadth of experience
Site visits to some of Australia’s flagship sustainable infrastructure projects
Practical lunch and learns presented by ACCIONA senior leaders and subject matter experts
Team up with other ACCIONA graduates from different countries and cultures through our Global Graduate Program
Complete an exclusive international development program in collaboration with the Comillas Pontifical University (Madrid)
Flexible time frame, achieved through our self-paced competency framework.
ACCIONA key Employee Programs:
Gender neutral parental leave
Salary packaging including car leasing
Flexible working equipment program
Flexible working model – core flexibility and elective flexibility
Corporate income protection
Professional development through ACCIONA talent programs and the ACCIONA Learning Ecosystem
Career development via ongoing career conversations
Health and wellbeing programs including discounted private health insurance and our Employee Assistance Program
Flu vaccinations and skin checks
Vacation care program
Free membership to The National Association of Women in Construction (NAWIC).
Eligibility for the ACCIONA 2024 Graduate Program:
Bachelor’s degree or tertiary qualification in Surveying or Spatial Science, or related field
Full working rights in Australia or New Zealand
Full completion of undergraduate level study with an Australian or New Zealand University within the last 3 years (2021 – 2023)
High degree of passion and ambition to work in the construction industry and help transform communities and change landscapes
Mobility, flexibility and the desire to work on construction projects locally, regionally and interstate
Commitment to building the infrastructure our planet needs to achieve a sustainable future.
We are looking for Graduates in:
Victoria
ACCIONA graduate recruitment process round 2:
September/October: Submit your 10-minute application
October/November: Shortlisted candidates complete a 10 to 15-minute one way video interview providing insight into your unique personality
November: If successful you will be invited to attend a face-to-face behavioural based interview with a HR representative and a senior leader
December: Formal offer to join ACCIONA’s graduate program
Monday 29th January: Program commencement. Early entry opportunities may also be available.
Applications close Friday 20th October 2023."
Hydrogeology Graduate Program,BHP,BHP is seeking students studying Earth Science related degrees for Graduate roles across Australia. Applications are open until 10 April 2023,10 Apr 2024,"To help build a better world, we need the best and brightest. 
Why not you? 
At BHP, our purpose is to bring people and resources together to build a better world.  We have the resources. What we produce is essential to carbon reduction and the technologies essential to secure prosperity for generations to come. 
But we need more good people. Not just anyone, but the best and brightest graduates from every field of academic and technical endeavour. Graduates who will challenge us, as we will challenge them. 
If you join us, the opportunities are endless; because you will not only help build a better world, you will help shape it. Someone has to do it. Why not you? 
About the Role 
As a BHP Hydrogeologist Graduate, your 24-month graduate program is a balanced approach to building your technical and professional capabilities through structured course work and learning on the job. When you start, you’ll be given a buddy who will show you the ropes and gain access to our mentor program to help shape your career.  
As BHP Graduate, you will:  
Gain experience in field hydrogeology, including technical supervision of water bore drilling and test pumping 
Support site based operational teams deliver ore for the business by developing and monitoring tactical site dewatering plans 
Use hydrogeological data collected by our field and operational hydrogeologists to develop and update hydrogeological conceptual models 
Collaborate on projects across multiple disciplines 
Contribute to improvement initiatives 
Attend technical forums where you will hear inspiring presentations, participate in activities focused on expanding your technical knowledge and networking with other graduates.  
What we offer our Graduates 
A permanent position is on offer 
Rotate into different teams 2-4 times 
Work alongside industry leaders to develop your technical capabilities 
An attractive salary package plus a performance-based bonus 
Employee share program and great employee discounts 
An ongoing commitment to your well-being. 
What we are looking for 
You will have already graduated in 2022 or 2023 or be eligible for graduation by the end of 2024. Your degree could be from one of the following (but not limited) to:  
Earth science, Geoscience, Environmental Science or Geology. Post graduate studies in hydrogeology would be an advantage.  
As our graduate opportunities for science are residentially based near our mining operations or require you to work on a Fly-In-Fly-Out (FIFO) roster, it is important that you are willing to consider either of these arrangements to undertake a grad role. Roles will be based in either WA or QLD.  
International students who have a valid visa with no work restrictions are eligible to apply. 
About Our Process  
At BHP, we are committed to employing individuals who align with the BHP Charter Values and meet the requirements of the role. As part of the recruitment process, there are a number of checks which may be conducted to demonstrate applicants suitability for a role including police / criminal background checks, medical, drug and alcohol testing, due diligence checks, right to work checks, and/or reference checks.   
Supporting a Diverse Workforce   
At BHP, we recognise that we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. We know there are many aspects of our employees' lives that are important, and work is only one of these, so we offer benefits to enable your work to fit with your life. These benefits include flexible working options, a generous paid parental leave policy, other extended leave entitlements and parent rooms.  
Apply now
The future is clear, if we continue to think big. To discover how, visit Australia graduate and student programs | BHP."
Business Graduate,John Deere,"If you strive to do great work, excel in creative environments, thrive in teams and live for problem solving — this is the place for you.",2 Jul 2024,"About Our Graduate Program:
The John Deere Graduate Program runs for approximately 12-18 months, including four rotations within a broad & dynamic corporate function. Upon completing the program, the graduate will be placed in a role within one of the divisions. The positions will be at our head office in Crestmead (Brisbane, Australia). 
We are currently seeking graduates of either: 
Business Marketing 
Business Commerce 
Agriculture Business 
International Business Disciplines
 Throughout the program, Graduates will be assigned to a diverse series of projects across the company – gaining knowledge of each area's role and how they integrate locally and globally within the organisation. 
 The John Deere Graduate Program offers continual development to successful candidates with ongoing feedback and coaching. Exposure to a diverse professional team and various experiences facilitated by ongoing training ensures our graduates expand upon their leadership and personal skills. 
 After the program, John Deere Graduates will gain extensive knowledge and experience to facilitate their career with the company further. 
What you’ll need to be successful:
We are looking for committed minds who want to be future leaders in Precision Technology or Sales & Marketing, or Engineering areas. At John Deere, we understand everyone is unique and has a different background.
To be considered for our program, you will need:
Passion for Agriculture and interest in Technology and Sustainability 
Passion for machines & machine learnings. 
Interest in creating sustainable solutions through technology. 
Willingness to work hard to achieve our vision. 
Engagement to learn and grow with the business.
High Integrity and an innovative mind. 
Self-regulation and self-motivated. 
GPA of 5 or Higher 
Completed Studies within last 2 years 
Australian / NZ citizen or PR
What you’ll get in return
At John Deere, you are empowered to create a career that will take you to where you want to go. Here, you'll enjoy the support to think outside the box and the advanced tools and technology that foster innovation and achievement.
We are a Global company that truly values its people and provides a broad range of benefits which includes-
An attractive remuneration package of $79,000 + Annual Bonus + Super
13.5% Super if you choose to go with John Deere- Mercer Super Plan.
Flexible and Hybrid working environment.
Social activities
Health & safety programs 
Professional Development Support (Higher Education, Training & Memberships)
Annual Leave loading
Purchase Leave Available
Paid Community Leave
Paid Parental leave 16 Weeks for all parents
We embrace and strive for a workforce that is as diverse, talented and passionate as the communities in which we live and operate, and to provide a workplace where people feel included, valued and supported.  We welcome applications from all backgrounds and believe that by understanding and respecting each other’s differences we will perform at our best!
Your Team:  
New demands require innovative solutions. At John Deere, you'll make what isn't possible today, tomorrow's reality. By supporting our customer’s in the use of our innovative technology and products, we're helping people be smarter about how they use the land. Global positioning, remote equipment operation, biofuels, electric hybrids. What's next? Help us figure it out.  Working with the latest technology, collaborating with the best and brightest in the field, expanding your knowledge and honing your skills-all are key components of unmatched career satisfaction as a member of the John Deere team. 
Learn more about our Graduate Program on our career site.
Applications for the Graduate Program open on 1st June and closing through 2nd July. We will be recruiting from August through October, with a planned start date in 31st Jan 2025 
John Deere believes in the power of diversity in the workforce and we and are committed to creating an inclusive environment for all employees.
John Deere Australia is proud to be recognised by Diversity Council Australia Ltd as an Inclusive Employer for 2022-2023."
Survey Graduate Program,BHP,BHP is seeking students studying Survey or related degrees for Graduate roles across Australia.,10 Apr 2024,"2025 Survey Graduate Program  
To help build a better world, we need the best and brightest. 
Why not you? 
At BHP, our purpose is to bring people and resources together to build a better world.  We have the resources. What we produce is essential to carbon reduction and the technologies essential to secure prosperity for generations to come. 
But we need more good people. Not just anyone, but the best and brightest graduates from every field of academic and technical endeavour. Graduates who will challenge us, as we will challenge them. 
If you join us, the opportunities are endless; because you will not only help build a better world, you will help shape it. Someone has to do it. Why not you? 
About the Role 
As a BHP Survey Graduate, your 24-month graduate program is a balanced approach to building your technical and professional capabilities through structured course work and learning on the job. When you start, you’ll be given a buddy who will show you the ropes and gain access to our mentor program to help shape your career.  
As a part of the Survey team, you will work with some of the best in the business who will provide guidance as you continue to build your technical skills through involvement with our mine site’s survey requirements utilising the latest technology.   
As BHP Graduate, you will:  
Rotate into different teams 2-4 times 
Work alongside industry leaders 
Collaborate on projects across multiple disciplines 
Contribute to improvement initiatives 
Attend technical forums where you will hear inspiring presentations, participate in activities focused on expanding your technical knowledge and networking with other graduates.  
What we offer our Graduates 
A permanent position is on offer. 
An attractive salary package plus a performance-based bonus 
Employee share program and great employee discounts 
An ongoing commitment to your well-being
An attractive salary package includes a performance based bonus, plus employee share program, recognition program & range of employee discounts. Relocation costs covered as required.
What we are looking for 
You will have already graduated in 2022 or 2023 or be eligible for graduation by the end of 2024. Your degree could be from one of the following (but not limited) to:  
Survey, Applied Science (Surveying / Spatial Science), Spatial Science Technology.  
We are looking for Graduate Surveyors to join us in Queensland, Western Australia and South Australia. As our Survey opportunities are residentially based near our mining operations or require you to work on a Fly-In-Fly-Out (FIFO) roster, it is important that you will be open to consider either of these arrangements to undertake a grad role.  
International students who have a valid visa with no work restrictions are eligible to apply. 
About Our Process  
At BHP, we are committed to employing individuals who align with the BHP Charter Values and meet the requirements of the role. As part of the recruitment process, there are a number of checks which may be conducted to demonstrate applicants suitability for a role including police / criminal background checks, medical, drug and alcohol testing, due diligence checks, right to work checks, and/or reference checks.  
Supporting a Diverse Workforce   
At BHP, we recognise that we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. We know there are many aspects of our employees' lives that are important, and work is only one of these, so we offer benefits to enable your work to fit with your life. These benefits include flexible working options, a generous paid parental leave policy, other extended leave entitlements and parent rooms.  
Apply now: 
The future is clear if we continue to think big.  To discover how, visit Australia graduate and student programs | BHP on our website and apply by 10 April 2024."
