,Job Title,Job Description,Company Name
10,LEASING ASSOCIATE (5-day Work) (Fresh Graduates Welcome),"WHARF CHINA ESTATES LIMITED is the Mainland investment property arm of The Wharf (Holdings) Limited. It operates prime Times Square and IFS developments in major cities including Shanghai, Chongqing, Chengdu, Changsha, Wuxi and Dalian.

Join our winning team and make a difference in your career!

We sincerely invite high caliber, committed and professional candidates who are intelligent, dynamic and with good business acumen to join us. Interested parties are invited to send full resume to [email redacted, apply via Company website].

The Company is committed to building and developing quality human capital, not only for operational excellence that leads to organizational growth but also for career growth for aspiring talents. We are currently seeking fresh university graduates who are passionate to develop their career in the leasing field to join our talent development programme.

Responsibilities:
Undergo 2-year rotational placements in the investment properties in HK and/ or Mainland covering retail or office leasing depending on business needs and career aspiration

Handle the leasing matters for prestigious retail/ office portfolio in HK and/ or Mainland

Liaise with tenants and real estate agents

Conduct research and analyze market trends on trade mix

Perform leasing administration and prepare leasing reports

Requirements:
Fresh university graduates in Business, Marketing, Real Estates or related disciplines

Passionate to develop in the leasing field

Proactive, positive thinking, organized and detail-oriented

A good team player with strong interpersonal and presentation skills

Good command of written and spoken English, Chinese and Putonghua

Travel to PRC cities will be required during the rotations

We Offer:
Comprehensive training and development programmes and on-the-job training

Opportunities for career advancement

Competitive salary and benefits

We offer competitive remuneration package that commensurate with experience and qualifications. Interested parties are invited to send full resume stating career aspiration, contact telephone number, date available, present and expected salary to our recruitment e-mail address.

(Personal data provided will be used strictly in accordance with the Company’s personal data policy which is available upon request.)

Full-time",Wharf China Estates Ltd
11,Ramp Services Supervisor Trainee (Welcome new graduates from Asso Degree /...,"About SATS HK Limited

SATS HK Limited is a joint venture of Hong Kong Airlines Ltd and SATS Ltd. We provide a full spectrum of professional ground handling services at the Hong Kong International Airport including both passenger and ramp handling services to airline customers. For more information, please visit our facebook (https://www.facebook.com/satshongkong)

We are now inviting high caliber individuals to join us for the following position.

新翔 (香港) 有限公司為香港航空與新加坡新翔集團的合資公司,在香港國際機場提供一站式優質卓越的停機坪及旅客地勤服務。為配合業務發展,現正積極招攬各方人才加入SATS HK團隊。

我們誠邀對航空業充滿熱誠的您,與我們一同體驗您的「飛」一般之旅。加入 SATS HK成為我們的STAR, 開展您的夢想道路。

Roles:
Responsible for the operation of the Ramp Services Department on the day-to-day basis

What skills you could learn and experience from the trainee program:

Allocate, supervise, monitor the daily operations and performance of ramp services officers and agents for ramp, basement and cargo

Ensure the team and group services equipment are ready prior to flight handling

Ensure the team to perform their duty in accordance with Safety, Airlines and Company’s procedures

Disseminate new information and procedures to the team effectively

Able to despond and answer airlines enquires in a timely manner during real time operation

Assist Ramp Services Supervisor in daily statistics reporting

To comply with all regulations and requirements with regards to health, safety and security set by the Company and relevant authorities

Take reasonable care of the health and safety of self and of others

Carry out any ad hoc duties as required by the Company

Requirements:
Enthusiastic in aviation & seeking the leadership role opportunity

Associate Degree / Higher Diploma holder OR Attain HKDSE

Good command of English and Chinese

Willing to perform shift duties including overnight shift

Fresh graduates are also welcome

Benefits:
We offer competitive remuneration and benefits package, including:

17 Public Holidays

Discounted / Complimentary Flight Tickets (Employee & Dependents)

Quarter Incentive

Annual Discretionary Bonus

Medical & Dental Insurance (Employee & Dependent)

Full paid Paternity/ Maternity Leave

Marriage Leave

Birthday Coupon

New Born Baby Coupon

Applications:
Interested personnel please send your cover letter and resume with present & expected salary and available date by Clicking ""Apply Now"".

We are an equal opportunity employer. Personal data collected will be used for recruitment purpose only. Applicants who do not hear from us within 8 weeks may consider their applications unsuccessful. All information regarding unsuccessful applicants will be destroyed within 6 months.

Full-time,Permanent",SATS HK Limited
12,Data Centre Operator / IT Support,"Job description:

Support daily operation of computers, systems and hardware in the data center
Monitor and troubleshoot server equipment installed in the production environment
Perform hardware and software troubleshooting and incident escalation
Monitor and Control the IT services and IT infrastructure
Work location (Tsuen Wan, Chai Wan)

Job requirements:

F5 / HKDSE / Diploma holder or above
12 hours shift (8:00 to 8:00)
Good communication in Cantonese and English
Fresh graduates welcome
Unsuccessful candidates will be considered for other vacancies.

Job Type: Full-time

Salary: $19,000.00 - $25,000.00 per month

Benefits:

Contract renewal
Dental insurance
Medical Insurance

Schedule:

Shift system

Supplemental pay types:

Performance bonus",Omnisource Hong Kong
13,Customer Service and Office Administration Manager,"Wynd Co-working Space is a community of creators that W idens Y our N etwork and D imension. We provide lifestyle workspace and services to our members, creating a vibrant community for early-stage businesses, startups, entrepreneurs and SMEs. As the most supportive and dynamic office space, every member of our team is entrepreneurial in spirit and we aim to provide an energetic and dynamic environment for our clients to focus on building their business where with us.

KEY RESPONSIBILITIES

Building a good relationship with existing clients and creating a vibrant community

Manage administrative operations of the office, such as customer inquiries, memberships, procurement, etc

Acting as the key point of contact for customers and visitor

Handling marketing and upkeeping the brand and values

Organizing internal and external events for members and the public

Handling other ad-hoc tasks on an as needed basis

KEY CRITERIA

Graduate, Higher diploma or association degree is preferred. Fresh graduates welcome for more junior position

Able to handle office administrative duties independently

Studying marketing, public relations, business or communications related courses

Cheerful, enthusiastic and outgoing personality (with entrepreneurial mindset a plus)

Good communication and client servicing skills, both written and oral

Language: English and Chinese (Cantonese) are a must, native or fluent English speaker preferred

Basic computer knowledge such as MS Word, Excel, Powerpoint, etc.

We offer market competitive compensation and 5-day work week.

APPLICATION METHOD

To apply, please send your full resume with current and expected salary to the Human Resources & Office Administration Department by email to [email redacted, apply via Company website] and we shall get back to you. Meanwhile should you have any questions, you could also reach us with the Email or call us on 3462 2777. For further information with regards to our company, you could also visit www.wynd.hk.

Full-time",Wynd Limited
14,Valuation Analyst / Data Analyst (Fresh Graduate Welcome),"Posted
08-Mar-2024
Service line
Advisory Segment
Role type
Full-time
Areas of Interest
Data & Analytics, Valuations/Appraisal, Graduate
Location(s)
Hong Kong - Hong Kong
The Team/ The Business: You will be working alongside with a team of highly collaborative and supportive colleagues in delivering outstanding service to our clients, together with the teams to lead the development of our product and services.

What you will be working on:
Interface directly with all stakeholders and ensure data accuracy and communication is maintained at all times
Point of contact for all matters relating to management of data records
Ensure all planning and management processes are followed, any changes are communicated and allocation data records are updated accurately
Manage the accuracy of the related databases and ensure that all supporting and associated documentation is accurate
Cultivate and maintain a positive working relationship with internal and external teams



You are someone with:
Degree holder in data science, data management, or other related disciplines.
Fresh graduate is welcome, preferrably with exposure/knowledge within real estate sector.
Good computer and information technology skills with hands-on experience in a variety of applications such as Excel or other data tools.
Fluent spoken and written English. Ability to speak fluent Cantonese and Mandarin will be a plus.",CBRE
15,2024 Graduate Trainee Program,"What you will engage?

2 years’ fast track program, will be covered different functions in Supply Chain or Sales & Marketing. Trainees will have different opportunities to engage in Leadership & Management Training, Stream Attachment in different departments, and various Business Projects with the guidance of experienced mentors with different expertise, Department Managers and Top Management. Successful completion of this fast track program will lead you to be an Assistant Manager in Swire Coca Cola!

Who we are looking for?

Fresh Graduates with bachelor's degree or above in any field of study

Less than 1 year of full-time working experience

Strong business acumen, with innovative and strategic thinking

Strong analytical and problem-solving skills

Passionate, energetic, driven to succeed in Swire Coca-Cola

Excellent command of written and spoken English and Chinese

IANG student who fulfilled above requirement is welcome

Application Deadline: March 31, 2024

How to join us?

Submit your full resume, including (1) a 1-minute video self-introduction, copy the link of video in your resume , let’s know your (2) expected salary and (3) date of availability by clicking ""Quick Apply""


Personal data provided are treated in strictest confidence and for recruitment purposes only. All information will be destroyed after the process completed. *
Full-time",Swire Coca-Cola HK Limited
16,Programmer (Fresh Graduate),"Esri China (Hong Kong) is the pioneering company in Geographic Information System (GIS) industry and in the region. We are seeking capable people to excel the talents and to work for our family.

Job Descriptions:
Perform programming and testing; and
Adhere to the development processes including coding standards, documentation standards, QA processes, configuration management and meeting project schedules.

Requirements:
Higher Diploma / Degree in Computer Science, Information Technology or related disciplines;
Experience in Web programming;
Knowledge in applying SQL statements for data manipulations; and
Immediately available highly preferable.

We offer five-day work week, attractive career opportunities, remuneration and benefits to the right candidates. Interested applicants, please submit detailed resume with current & expected salary and date of availability to Human Resources Department via e-mail to job@esrichina.hk.
(For more information about our Company, please visit our website www.esrichina.hk)
(Application received will be treated in strict confidence and will be used exclusively for recruitment related purposes.)",ESRI CHINA (HONG KONG) LIMITED
17,"Full- time Intern, Investment Banking Division (6 -months contract, Fresh graduates are welcomed)","China Merchants Securities International Company Limited (""CMSI""), a wholly-owned subsidiary of China Merchants Securities Co., Ltd. (""CMS"", Stock Code: 6099.HK/600999.SH) under the century-old China Merchants Group, was established in 1999 and headquartered in Hong Kong. It is the main overseas business platform of CMS, and a vital bridge between CMS and international capital market. CMSI has established subsidiaries in different international financial centres such as Hong Kong, London, Seoul, etc.; and is dedicated to providing clients in both Mainland China and overseas with a full range of integrated financial services, including brokerage, corporate financing, sales and trading, asset management, private equity, global commodities and futures, etc. CMSI are searching high caliber talents to help develop and take part in the growth of our business.

Website: www.cmschina.com.hk

Wechat: cms_international

Job Descriptions:
Assist team analyst and associate on drafting of documentation and performing market research;

Assist team analyst and associate on deal execution;

Assist team on preparing and drafting of pitchbook/ RFP doc;

Assist team on preparing meetings and internal documentation.

Job Requirements:
Full-time undergraduate/ postgraduate degree student with outstanding academic background;

Knowledge of and a keen interest in financial markets;

Strong quantitative, financial and analytical skills;

Ability to work independently in a fast-paced environment;

Proficient in MS Offices;

Excellent verbal and written communication skills in English and Chinese (including Mandarin).

We offer attractive remuneration and benefits to the right candidates. Interested parties, please click ""Apply Now"" to submit your application.

Personal data provided will be used by us for recruitment and related purposes, which is strictly in accordance with the Personal Data (Privacy) Ordinance (Cap. 486 of the Laws of Hong Kong) for Applicants for Employment. Applicants who are not contacted within 6 weeks may consider your applications unsuccessful and the personal data collected will be destroyed after 2 years or such other period as prescribed by the applicable laws.

Full-time,Temporary,Contract,Internship",China Merchants Securities International Company Limited
18,Application Analyst (Fresh Graduates Are Welcome),"Responsibilities
Ensure maximum uptime for multiple production systems
Provide L1/L2 application production support to users for trading, data processing, and IT operations
Provide weekend support in a rotational basis and occasional public holiday support Manage, own and frequently follow-up incidents and requests raised to the team.
Monitor and follow up critical system alerts; perform initial diagnosis and potential fix and escalate to the right teams.
Assume the role of major incident manager upon major incidents, focusing on coordinating efforts, seeking updates from fellow tech teammates and providing timely updates to all stakeholders.
Perform system operation and administration tasks, including checking and monitor multiple systems performance on a daily basis
Work closely with internal users and external vendors to investigate and resolve production system issues, and communicate system enhancement /bug fix requirements to multiple engineering teams
Help the team manager to refine and streamline day to day operations via automations
Help the team manager to define work rosters, schedules and other managerial tasks.
Help the team manager to formulate and continuously improve the team’s way of working.
Work to comply with SLA and OLA
Hands-on for incident management, change management and response management and writing RCA reports.
Document knowledge articles and manage the team's knowledge base; share and promote overall knowledge level
Provide support in non-office hours during emergency situations.
Coordinate between product and development teams to ensure effective delivery of supporting services to the end-user
Stay abreast of the latest technology and trends
Requirements
Impeccable sense of self-discipline, responsibility and integrity.
A strong interest in working in crypto technology and financial environments.
1 year of experience in application support or application development.
Proficient in spoken and written English language; Chinese language is helpful but not a must.
Very strong team player and ability to proactively manage self and team's work with little supervision; high sense of responsibility and integrity.
Experience in Database queries / SQLs
Knowledge in shell scripting and basic linux commands.
Excellent problem solving skill with a keen eye for detail.
Excellent communication and interpersonal skills.
Excellent time management ability and self organised and motivated.
#LI-CY2
#LI-Hybrid
#LI-Associate

Life @ Crypto.com

Empowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.
Transformational and proactive working environment. Empower employees to find thoughtful and innovative solutions.
Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.
Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.
One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet.

Are you ready to kickstart your future with us?

Benefits

Competitive salary
Attractive annual leave entitlement including: birthday, work anniversary
Aspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.
Work Perks: crypto.com visa card provided upon joining

Our Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team.

About Crypto.com:

Founded in 2016, Crypto.com serves more than 80 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.

Learn more at https://crypto.com.

Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.

Personal data provided by applicants will be used for recruitment purposes only.",Crypto.com
19,Bank Teller/Relationship Manager/Wealth Management Manager (Welcome Fresh Graduate / IANG),"Our client is a locally incorporated licensed bank and is one of the Hong Kong’s commercial banking and more than 300 branches across Hong Kong. We are seeking an energetic, young and motivated individual to join their business.

Job Responsibilities

Perform teller duties in branch, including to handle counter transactions in cash, cheque and foreign exchange
Deliver quality customer services through counter transactions
Provide efficient and customer-focused service to meet customers' needs and exceed expectations
Identify cross-selling opportunities proactively and make referrals to sales staff to promote banking products and offer differentiated banking solutions
Maintain good relationship with both existing and new clients
Responsible for all kinds of marketing supports and administrative works

We are looking for:
Degree holder in all discipline (Fresh graduates are also welcome to apply)
Self-motivated, aggressive and able to work under pressure
Good communication, presentation and social skills
Good command in Cantonese, English and Mandarin
Previous working experience is an advantage
We provide
Professional Weekly Training Program for freshman (on working days)
Sponsorship for Qualification/ Professional Examinations
Attractive commission and bonus
Overseas trips & conventions plus excellent career path
Assist Non-local graduates for IANG Visa extension (if needed)
5 working days
Medical Allowance
Happy and harmonious working environment",B2W CONSULTANCY COMPANY
